time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 02:11:59.531000320,124.0
2017-08-21 02:13:06.017000448,124.9
2017-08-21 02:14:10.314999808,109.5
2017-08-21 02:15:14.721999872,121.5
2017-08-21 02:16:18.713000448,113.6
2017-08-21 02:17:23.064999936,111.5
2017-08-21 02:17:55.208999936,112.5
2017-08-21 02:18:59.435999744,96.7
2017-08-21 02:20:04.201999872,95.5
2017-08-21 02:21:08.529000448,97.4
2017-08-21 02:22:12.758000128,89.3
2017-08-21 02:23:17.231000064,88.7
2017-08-21 02:24:21.701999616,82.8
2017-08-21 02:24:55.838999552,71.7
2017-08-21 02:26:00.329999872,75.8
2017-08-21 02:27:05.376999936,87.7
2017-08-21 02:28:09.805000192,77.2
2017-08-21 02:29:14.819000320,77.6
2017-08-21 02:30:19.088000512,68.7
2017-08-21 02:31:23.364999680,73.3
2017-08-21 02:31:55.488000000,68.2
2017-08-21 02:33:00.100999680,60.4
2017-08-21 02:34:04.943000064,55.3
2017-08-21 02:35:09.477999616,54.1
2017-08-21 02:36:13.965000192,48.2
2017-08-21 02:37:18.522999808,46.5
2017-08-21 02:38:22.800999936,52.9
2017-08-21 02:38:54.923999744,56.7
2017-08-21 02:39:59.510000128,54.8
2017-08-21 02:41:03.748000256,53.0
2017-08-21 02:42:08.003999744,47.4
2017-08-21 02:43:12.631000064,46.4
2017-08-21 02:44:17.368000000,50.1
2017-08-21 02:44:55.621000192,46.1
2017-08-21 02:45:55.857999872,43.1
2017-08-21 02:47:00.484000256,43.8
2017-08-21 02:48:07.551000064,37.7
2017-08-21 02:49:11.802999808,41.3
2017-08-21 02:50:16.495000064,35.7
2017-08-21 02:51:20.743000064,38.7
2017-08-21 02:51:54.790000128,34.6
2017-08-21 02:52:59.022000128,35.5
2017-08-21 02:54:03.519000064,29.7
2017-08-21 02:55:07.757000192,33.2
2017-08-21 02:56:12.072999936,30.6
2017-08-21 02:57:17.227999744,28.3
2017-08-21 02:58:22.265999872,27.6
2017-08-21 02:58:54.786000384,24.4
2017-08-21 02:59:59.477000192,22.3
2017-08-21 03:01:03.710000128,22.0
2017-08-21 03:02:07.982999552,20.4
2017-08-21 03:03:12.668000256,17.3
2017-08-21 03:04:16.925000192,16.3
2017-08-21 03:05:21.430999552,14.9
2017-08-21 03:05:54.779000320,14.0
2017-08-21 03:06:59.472000000,16.5
2017-08-21 03:08:04.269000192,14.0
2017-08-21 03:09:08.654999552,11.9
2017-08-21 03:10:13.093999616,9.5
2017-08-21 03:11:17.378999808,8.9
2017-08-21 03:12:21.625999872,8.6
2017-08-21 03:12:54.772000256,7.9
2017-08-21 03:13:59.496000512,7.5
2017-08-21 03:15:03.734000128,7.1
2017-08-21 03:16:08.107000320,6.7
2017-08-21 03:17:13.307000320,6.4
2017-08-21 03:18:17.564000256,6.0
2017-08-21 03:18:54.769999872,5.6
2017-08-21 03:19:55.003999744,5.2
2017-08-21 03:20:59.484000256,5.0
2017-08-21 03:22:04.135000064,4.8
2017-08-21 03:23:08.495000064,4.6
2017-08-21 03:24:12.722999808,4.3
2017-08-21 03:25:17.648999936,4.2
2017-08-21 03:26:21.916999680,4.0
2017-08-21 03:26:54.765999616,3.7
2017-08-21 03:27:59.076000256,3.6
2017-08-21 03:29:02.864999936,3.5
2017-08-21 03:30:07.260000256,3.4
2017-08-21 03:31:11.607000576,3.2
2017-08-21 03:32:15.852000256,3.1
2017-08-21 03:33:20.320999936,2.9
2017-08-21 03:33:54.765000192,2.8
2017-08-21 03:34:59.359999488,2.8
2017-08-21 03:36:03.632999936,2.6
2017-08-21 03:37:07.904999936,2.6
2017-08-21 03:38:13.382000128,2.5
2017-08-21 03:39:17.939000320,2.4
2017-08-21 03:40:22.584999936,2.5
2017-08-21 03:40:54.752000000,2.3
2017-08-21 03:41:59.385000448,2.4
2017-08-21 03:43:03.611999744,2.3
2017-08-21 03:44:08.276000256,2.2
2017-08-21 03:45:12.656000000,2.3
2017-08-21 03:46:16.895000064,2.3
2017-08-21 03:47:21.138999808,2.3
2017-08-21 03:47:54.751000064,2.2
2017-08-21 03:48:58.991000064,2.3
2017-08-21 03:50:04.407000064,2.3
2017-08-21 03:51:08.644000256,2.3
2017-08-21 03:52:12.890999808,2.2
2017-08-21 03:53:17.687999488,2.2
2017-08-21 03:54:21.930999808,2.2
2017-08-21 03:54:56.204999680,2.3
2017-08-21 03:55:56.444999680,2.2
2017-08-21 03:57:00.679000064,2.2
2017-08-21 03:58:05.590000128,2.2
2017-08-21 03:59:10.816999936,2.2
2017-08-21 04:00:16.453000192,2.2
2017-08-21 04:01:20.711000064,2.2
2017-08-21 04:01:54.739000320,2.2
2017-08-21 04:02:55.567000064,2.2
2017-08-21 04:04:00.096999936,2.3
2017-08-21 04:05:04.334000128,2.3
2017-08-21 04:06:08.682000384,2.3
2017-08-21 04:07:12.920000000,2.3
2017-08-21 04:08:17.191000064,2.3
2017-08-21 04:09:21.743000064,2.3
2017-08-21 04:09:54.727999488,2.3
2017-08-21 04:11:00.083000320,2.3
2017-08-21 04:12:04.418999808,2.3
2017-08-21 04:13:08.696999936,2.4
2017-08-21 04:14:13.493000192,2.4
2017-08-21 04:15:17.730999808,2.3
2017-08-21 04:16:21.960000000,2.4
2017-08-21 04:16:54.727999488,2.4
2017-08-21 04:17:58.960000000,2.5
2017-08-21 04:19:03.862000128,2.5
2017-08-21 04:20:08.100999680,2.5
2017-08-21 04:21:11.348000256,2.5
2017-08-21 04:22:15.654999552,2.5
2017-08-21 04:23:19.882999808,2.6
2017-08-21 04:23:54.724999680,2.6
2017-08-21 04:24:55.755000320,2.7
2017-08-21 04:26:00.439000064,2.6
2017-08-21 04:27:04.694999552,2.6
2017-08-21 04:28:09.253000192,2.7
2017-08-21 04:29:13.489999872,2.6
2017-08-21 04:30:18.263000064,2.7
2017-08-21 04:31:23.353999872,2.7
2017-08-21 04:31:55.466999808,2.7
2017-08-21 04:33:00.051000320,2.7
2017-08-21 04:34:04.942000128,2.7
2017-08-21 04:35:07.448000000,2.9
2017-08-21 04:36:11.685999616,3.0
2017-08-21 04:37:15.952999936,2.9
2017-08-21 04:38:20.191000064,3.0
2017-08-21 04:38:54.710000128,3.1
2017-08-21 04:39:55.560000000,3.1
2017-08-21 04:41:00.727999488,3.1
2017-08-21 04:42:05.175000064,3.1
2017-08-21 04:43:09.411000320,3.1
2017-08-21 04:44:13.648999936,3.1
2017-08-21 04:45:17.976000000,3.1
2017-08-21 04:46:22.371999744,3.1
2017-08-21 04:46:54.706000384,3.0
2017-08-21 04:47:58.933000192,2.9
2017-08-21 04:49:03.248999936,2.9
2017-08-21 04:50:07.475999744,2.9
2017-08-21 04:51:12.720000512,2.9
2017-08-21 04:52:16.270000128,2.8
2017-08-21 04:53:20.496999936,2.8
2017-08-21 04:53:54.704000000,2.8
2017-08-21 04:54:59.364000256,2.8
2017-08-21 04:56:03.604000256,2.9
2017-08-21 04:57:07.832000000,2.9
